id,cant_victimas,fecha,anio,mes,dia,hora,hora_int,dir,tipo_calle,calle,alt,cruce,dir_normalizada,comuna,point,longitud,latitude,victima,acusado
2016-0001,1,2016-01-01,2016,1,1,04:00:00,4,Av Piedra Buena Y Av Fernandez De La Cruz,Avenida,PIEDRA BUENA AV.,0,"Fernandez De La Cruz, F., Gral. Av.","Piedra Buena Av. Y Fernandez De La Cruz, F., Gral. Av.",8,Point (98896.78238426 93532.43437792),-58.47533969,-34.68757022,Moto,Auto
2016-0002,1,2016-01-02,2016,1,2,01:15:00,1,Av Gral Paz  Y Av De Los Corrales,Avenida,"PAZ, GRAL. AV.",0,De Los Corrales Av.,"Paz, Gral. Av. Y De Los Corrales Av.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Auto,Pasajeros
2016-0003,1,2016-01-03,2016,1,3,07:00:00,7,Av Entre Rios 2034,Avenida,ENTRE RIOS AV.,2034,Nan,Entre Rios Av. 2034,1,Point (106684.29090040 99706.57687843),-58.39040293,-34.63189362,Moto,Auto
2016-0004,1,2016-01-10,2016,1,10,00:00:00,0,Av Larrazabal Y Gral Villegas Conrado,Avenida,LARRAZABAL AV.,0,"Villegas, Conrado, Gral.","Larrazabal Av. Y Villegas, Conrado, Gral.",8,Point (99840.65224780 94269.16534422),-58.46503904,-34.68092974,Moto,Sd
2016-0005,1,2016-01-21,2016,1,21,05:20:00,5,Av San Juan Y Presidente Luis Saenz Peña ,Avenida,SAN JUAN AV.,0,"Saenz Pe?A, Luis, Pres.","San Juan Av. Y Saenz Peã‘A, Luis, Pres.",1,Point (106980.32827929 100752.16915795),-58.38718297,-34.62246630,Moto,Pasajeros
2016-0008,1,2016-01-24,2016,1,24,18:30:00,18,Av 27 De Febrero Y Av Escalada,Avenida,27 DE FEBRERO AV.,0,Escalada Av.,27 De Febrero Av. Y Escalada Av.,8,Point (101721.59002217 93844.25656649),-58.44451316,-34.68475866,Moto,Objeto Fijo
2016-0009,1,2016-01-24,2016,1,24,19:10:00,19,Nogoya Y Joaquin V. Gonzales,Calle,NOGOYA,0,"Gonzalez, Joaquin V.","Nogoya Y Gonzalez, Joaquin V.",11,Point (96545.87592078 102330.67262199),-58.50095869,-34.60825440,Moto,Auto
2016-0010,1,2016-01-29,2016,1,29,15:20:00,15,Av General Paz Y Av De Los Corrales,Avenida,"PAZ, GRAL. AV.",0,De Los Corrales Av.,"Paz, Gral. Av. Y De Los Corrales Av.",9,Point (95832.05571093 95505.41641999),-58.50877521,-34.66977709,Moto,Auto
2016-0012,1,2016-02-08,2016,2,8,01:20:00,1,Av Belgrano Y Bernardo De Irigoyen,Avenida,BELGRANO AV.,0,"Irigoyen, Bernardo De","Belgrano Av. E Irigoyen, Bernardo De",1,Point (107595.35084333 101797.50052813),-58.38048577,-34.61303893,Moto,Cargas
2016-0013,1,2016-02-10,2016,2,10,11:30:00,11,Av Entre Rios 1366,Avenida,ENTRE RIOS AV.,1366,Nan,Entre Rios Av. 1366,1,Point (106616.41069662 100496.44662323),-58.39114932,-34.62477387,Peaton,Auto
2016-0015,1,2016-02-14,2016,2,14,05:14:00,5,Av Scalabrini Ortiz Y Vera,Avenida,"SCALABRINI ORTIZ, RAUL AV.",0,Vera,"Scalabrini Ortiz, Raul Av. Y Vera",15,Point (102357.43746828 103343.52002839),-58.43760020,-34.59912758,Peaton,Auto
2016-0016,1,2016-02-14,2016,2,14,22:00:00,22,Av Regimiento De Patricios Y Quinquela Martin Benito,Avenida,REGIMIENTO DE PATRICIOS AV.,0,"Quinquela Martin, Benito","Regimiento De Patricios Av. Y Quinquela Martin, Benito",4,Point (108661.59115206 98481.75445555),-58.36882665,-34.64291993,Moto,Auto
2016-0017,1,2016-02-15,2016,2,15,16:54:00,16,Mariano Acosta Y Ana Maria Janer,Avenida,"ACOSTA, MARIANO",0,"Janer, Ana Maria","Acosta, Mariano Y Janer, Ana Maria",8,Point (101228.61094416 96623.72136186),-58.44989671,-34.65970435,Peaton,Moto
2016-0019,1,2016-02-17,2016,2,17,09:30:00,9,Lisandro De La Torre Y Severo Garcia Grande De Zequeira ,Calle,"DE LA TORRE, LISANDRO",0,"Garcia Grande De Zequeira, Severo","De La Torre, Lisandro Y Garcia Grande De Zequeira, Severo",9,Point (95727.37083199 97179.35560349),-58.50990884,-34.65468721,Peaton,Pasajeros
2016-0020,1,2016-02-17,2016,2,17,16:00:00,16,Suipacha 156,Calle,SUIPACHA,156,Nan,Suipacha 156,1,Point (107684.31807562 102519.17333314),-58.37952223,-34.60653282,Peaton,Auto
2016-0021,1,2016-02-17,2016,2,17,23:35:00,23,Av Directorio Y Curapaligue,Avenida,DIRECTORIO AV.,0,Curapaligue,Directorio Av. Y Curapaligue,7,Point (101074.94198885 99848.19369046),-58.45157703,-34.63063795,Auto,Auto
2016-0022,1,2016-02-21,2016,2,21,06:00:00,6,Av 9 De Julio Y Adolfo Alsina,Avenida,9 DE JULIO AV.,0,"Alsina, Adolfo","9 De Julio Av. Y Alsina, Adolfo",1,Point (107507.39502374 102046.08333077),-58.38144696,-34.61079875,Moto,Auto
2016-0025,1,2016-02-28,2016,2,28,04:50:00,4,Av Gral Paz Y Av 27 De Febrero,Avenida,"PAZ, GRAL. AV.",0,27 De Febrero Av.,"Paz, Gral. Av. Y 27 De Febrero Av.",8,Point (100077.95205948 91571.23307293),-58.46244952,-34.70524971,Auto,Auto
2016-0026,1,2016-02-28,2016,2,28,07:30:00,7,Holmberg Y Vedia,Calle,HOLMBERG,0,Vedia,Holmberg Y Vedia,12,Point (97350.75566590 109083.19420265),-58.49216191,-34.54738649,Auto,Objeto Fijo
2016-0027,1,2016-02-28,2016,2,28,09:35:00,9,Curapaligue Y Avelino Diaz,Avenida,CURAPALIGUE AV.,0,"Diaz, Avelino","Curapaligue Av. Y Diaz, Avelino",7,Point (101679.82794245 98973.02976850),-58.44497874,-34.63852623,Auto,Auto
2016-0028,1,2016-03-02,2016,3,2,10:00:00,10,Viamonte Y Av 9 De Julio,Avenida,VIAMONTE,0,9 De Julio Av.,Viamonte Y 9 De Julio Av.,1,Point (107457.87314266 103212.28518029),-58.38199706,-34.60028648,Peaton,Cargas
2016-0029,1,2016-03-04,2016,3,4,17:30:00,17,Av Cabildo Y Deheza,Avenida,CABILDO AV.,0,Deheza,Cabildo Av. Y Deheza,12,Point (99037.31284333 109733.12041651),-58.47378664,-34.54153077,Peaton,Pasajeros
2016-0031,1,2016-03-08,2016,3,8,12:30:00,12,Av Gral Paz Y Av Cnel Roca,Avenida,"PAZ, GRAL. AV.",0,"Roca, Cnel. Av.","Paz, Gral. Av. Y Roca, Cnel. Av.",8,Point (99327.01838497 92326.91130631),-58.47064556,-34.69843756,Moto,Pasajeros
2016-0034,1,2016-03-12,2016,3,12,12:30:00,12,Av Amancio Alcorta Y Bonavena,Avenida,"ALCORTA, AMANCIO AV.",0,"Bonavena, Oscar Natalio","Alcorta, Amancio Av. Y Bonavena, Oscar Natalio",4,Point (105230.98315750 97613.97258373),-58.40623949,-34.65076549,Peaton,Pasajeros
2016-0035,1,2016-03-13,2016,3,13,06:00:00,6,Av Corrientes Y Av Callao,Avenida,CORRIENTES AV.,0,Callao Av.,Corrientes Av. Y Callao Av.,3,Point (106513.41423248 102752.75354401),-58.39228965,-34.60443527,Moto,Pasajeros
